Predicted_User,Key,Key_Pair,Flight_UD_s,Flight_DD_s,Dwell_Time_s,Is_Overlap,Session_WPM,Grid_Distance,Instant_WPM
User_1,o,l_o,0.0789134502410888,0.135807991027832,0.0656664371490478,0,98.32,1.12,88.36004353779714
User_1,l,l_l,0.0696713924407959,0.1021361351013183,0.0568945407867431,0,98.32,0.0,117.49024953897155
User_1,l,e_l,0.1306500434875488,0.1957409381866455,0.0324647426605224,0,98.32,6.58,61.30551999580997
User_1,e,h_e,0.0592958927154541,0.0606050491333007,0.0650908946990966,0,98.32,3.64,198.00330453665705
User_1,h,START,0.0,0.0,0.0013091564178466,1,98.32,0.0,1200.0
User_1,<shift_r>,r_<shift_r>,0.0447978973388671,0.1051445007324218,0.1470096111297607,0,87.63,0.0,114.12865072742451
User_1,r,e_r,0.0872676372528076,0.1460771560668945,0.0603466033935546,0,87.63,1.0,82.14836818499344
User_1,e,h_e,0.0495331287384033,0.0816960334777832,0.0588095188140869,0,87.63,3.64,146.8859562595941
User_1,h,t_h,0.0198464393615722,0.0912964344024658,0.0321629047393798,0,87.63,1.8,131.43996343931582
User_1,t,o_t,0.0222253799438476,0.0719935894012451,0.0714499950408935,0,87.63,4.0,166.68150733699164
User_1,o,r_o,0.0366661548614501,0.1045484542846679,0.0497682094573974,0,87.63,5.0,114.77931531465796
User_1,r,e_r,0.0265870094299316,0.0059955120086669,0.0678822994232177,1,87.63,1.0,1200.0
User_1,e,b_e,0.0205914974212646,0.0916891098022461,0.0687909126281738,0,87.63,3.36,130.87704773098406
User_1,o,y_o,0.1158957481384277,0.1655032634735107,0.0671138763427734,0,98.32,3.0,72.5061231310441
User_1,y,<space>_y,0.1142811775207519,0.1585385799407959,0.049607515335083,0,98.32,0.0,75.6913554068747
User_1,<space>,n_<space>,0.0663607120513916,0.1036272048950195,0.0442574024200439,0,98.32,0.0,115.79970734670215
User_1,n,a_n,0.1149804592132568,0.04099702835083,0.0372664928436279,1,98.32,5.3,292.7041418053671
User_1,a,c_a,0.0739834308624267,0.1315956115722656,0.0735292434692382,0,98.32,2.42,91.18845116966695
User_1,c,<space>_c,0.0870516300201416,0.1554017066955566,0.0576121807098388,0,98.32,0.0,77.21922915241133
User_1,<space>,1_<space>,0.1484477519989013,0.2288997173309326,0.068350076675415,0,98.32,0.0,52.424704319975014
User_1,1,<space>_1,0.0523600578308105,0.0977418422698974,0.0804519653320312,0,98.32,0.0,122.77239431260206
User_1,<space>,r_<space>,0.0342528820037841,0.0961866378784179,0.0453817844390869,0,98.32,0.0,124.75745347465282
User_1,r,e_r,0.0910923480987548,0.146047830581665,0.0619337558746337,0,98.32,1.0,82.16486306032465
User_1,e,s_e,0.0724461078643798,0.1599712371826172,0.0549554824829101,0,98.32,1.12,75.01348499481347
User_1,s,u_s,0.0235629081726074,0.0683610439300537,0.0875251293182373,0,98.32,4.61,175.5385715332006
User_1,u,<space>_u,0.2504489421844482,0.3018693923950195,0.0447981357574462,0,98.32,0.0,39.75229123029827
User_1,<space>,m_<space>,0.0773918628692627,0.1310880184173584,0.0514204502105712,0,98.32,0.0,91.54154700694588
User_1,m,a_m,0.0984086990356445,0.0510668754577636,0.0536961555480957,1,98.32,6.28,234.9859844063685
User_1,a,<space>_a,0.0473418235778808,0.0969405174255371,0.0903711318969726,0,98.32,0.0,123.78724932242659
User_1,<space>,i_<space>,0.1117098331451416,0.1530442237854004,0.0599982738494873,0,98.32,0.0,78.4087089547821
User_1,i,<space>_i,0.1072399616241455,0.0720913410186767,0.0413343906402587,1,98.32,0.0,166.45549701858315
User_1,<space>,o_<space>,0.0351486206054687,0.0976758003234863,0.0765211582183837,0,98.32,0.0,122.855404923819
User_1,o,h_o,0.1086852550506591,0.1546072959899902,0.0625271797180175,0,98.32,2.69,77.61600074020387
User_1,h,w_h,0.1420938968658447,0.0577991008758544,0.045922040939331,1,98.32,4.61,207.61568637156785
User_1,w,<space>_w,0.0842947959899902,0.1445379257202148,0.0914325714111328,0,98.32,0.0,83.02319228815183
User_1,<space>,t_<space>,0.0043418407440185,0.0611088275909423,0.0602431297302246,0,98.32,0.0,196.37097409767145
User_1,t,c_t,0.109011173248291,0.1797952651977539,0.0567669868469238,0,98.32,2.39,66.74258071702496
User_1,c,i_c,0.040560245513916,0.0938549041748046,0.0707840919494628,0,98.32,4.74,127.85693092446209
User_1,i,d_i,0.0095388889312744,0.0890703201293945,0.0532946586608886,0,98.32,4.61,134.72501258070392
User_1,d,e_d,0.0799407958984375,0.144136905670166,0.0795314311981201,0,98.32,1.12,83.2541807679711
User_1,e,r_e,0.0697357654571533,0.1293721199035644,0.0641961097717285,0,98.32,1.0,92.75568807981928
User_1,r,p_r,0.0150203704833984,0.0507569313049316,0.0596363544464111,0,98.32,6.0,236.42091220818284
User_1,p,<space>_p,0.1234197616577148,0.1703219413757324,0.0357365608215332,0,98.32,0.0,70.45480989162662
User_1,<space>,u_<space>,0.0975356101989746,0.1458544731140136,0.0469021797180175,0,98.32,0.0,82.27378800113776
User_1,u,o_u,0.065432071685791,0.1325459480285644,0.048318862915039,0,98.32,2.0,90.53464235220477
User_1,l,e_l,0.028921365737915,0.1068065166473388,0.0408744812011718,0,97.15,6.58,112.35269510401164
User_1,e,h_e,0.0142972469329833,0.0152242183685302,0.0778851509094238,0,97.15,3.64,788.2178059666469
User_1,h,START,0.0,0.0,0.0009269714355468,1,97.15,0.0,1200.0
User_1,y,l_y,0.0654311180114746,0.1410338878631591,0.0704753398895263,0,98.32,3.64,85.08593347184215
User_1,l,e_l,0.1510989665985107,0.0659589767456054,0.0756027698516845,1,98.32,6.58,181.93126382603432
User_1,e,t_e,0.0851399898529052,0.1464629173278808,0.0852620601654052,0,98.32,2.0,81.93200175807006
User_1,t,a_t,0.0815691947937011,0.1442091464996338,0.0613229274749755,0,98.32,3.64,83.21247501475555
User_1,a,r_a,0.0901858806610107,0.1398286819458007,0.0626399517059326,0,98.32,2.69,85.81930282838071
User_1,r,u_r,0.0772688388824462,0.1181085109710693,0.04964280128479,0,98.32,3.0,101.60148410421839
User_1,u,c_u,0.1197538375854492,0.0599191188812255,0.040839672088623,1,98.32,3.86,200.26996765067534
User_1,c,c_c,0.0598347187042236,0.1142714023590087,0.0834238529205322,0,98.32,0.0,105.01315072951817
User_1,c,a_c,0.0951673984527587,0.1637418270111084,0.0544366836547851,0,98.32,2.42,73.28610055869176
User_1,a,<space>_a,0.1098010540008544,0.1566109657287597,0.0685744285583496,0,98.32,0.0,76.62298705687851
User_1,<space>,m_<space>,0.0696909427642822,0.1307439804077148,0.0468099117279052,0,98.32,0.0,91.78242824318906
User_1,m,a_m,0.0911095142364502,0.0525331497192382,0.0610530376434326,1,98.32,6.28,228.42719433602653
